,daysOnMovoto,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsNumber,bath,bed,officeListName,propertyType,yearBuilt,zipCode,path,status,houseRealStatus,createdAt,onMarketDateTime,priceRaw,geo.state,geo.city,geo.zipcode,geo.address
1622,40,2021-03-22 00:00:00,Janice Lee,1199000,2000,2046,421520097,3,4,Coldwell Banker Realty,SINGLE_FAMILY_HOUSE,1924,94112,san-francisco-ca/31-ellington-ave-san-francisco-ca-94112-100_80730396/for-sale/,Active Under Contract,PENDING,2021-03-23 03:51:16,2021-03-22 00:00:00,1199000,CA,San Francisco,94112,31 Ellington Ave
1623,41,2021-03-22 00:00:00,Rachel Kwok,699000,2500,1025,421530822,2,2,Compass,SINGLE_FAMILY_HOUSE,1946,94134,san-francisco-ca/72-tucker-ave-san-francisco-ca-94134/pid_umrzoad48g/for-sale/,Pending,PENDING,2021-03-22 22:56:20,2021-03-22 00:00:00,699000,CA,San Francisco,94134,72 Tucker Ave
1624,41,2021-03-22 00:00:00,Ronald N Lee,880000,2500,945,421530914,2,3,RE/MAX Gold,SINGLE_FAMILY_HOUSE,1924,94124,san-francisco-ca/1255-hollister-ave-san-francisco-ca-94124/pid_0eazoad48g/for-sale/,Pending,PENDING,2021-03-22 22:28:24,2021-03-22 00:00:00,880000,CA,San Francisco,94124,1255 Hollister Ave
1625,41,2021-03-22 09:25:45,Normita Pascual,1540000,2500,1466,ML81835251,2,5,"Normita Pasqual, Broker",SINGLE_FAMILY_HOUSE,1924,94110,san-francisco-ca/351-crescent-ave-san-francisco-ca-94110/pid_wzjzoad48g/for-sale/,Pending,PENDING,2021-03-22 16:32:42,2021-03-22 09:25:45,1540000,CA,San Francisco,94110,351 Crescent Ave
1626,41,2021-03-16 00:00:00,Todd Wiley,1695000,2996,3308,421529471,4,6,Compass,MULTI_FAMILY,1960,94122,san-francisco-ca/1879-9th-ave-apt-4-san-francisco-ca-94122-110_421529471/for-sale/,Active Under Contract,PENDING,2021-03-22 14:36:42,2021-03-16 00:00:00,1695000,CA,San Francisco,94122,1879 9th Ave #4
1627,41,2021-03-18 00:00:00,Pauline Ha,2490000,2736,2309,421529790,3,4,"eXp Realty of California, Inc",SINGLE_FAMILY_HOUSE,1921,94114,san-francisco-ca/595-clipper-st-san-francisco-ca-94114/pid_g5yzoad48g/for-sale/,Pending,PENDING,2021-03-22 07:36:12,2021-03-18 00:00:00,2490000,CA,San Francisco,94114,595 Clipper St
1628,41,2021-03-08 00:00:00,John Woodruff,1299000,1655,1530,421526385,2,3,Aethos Real Estate,CONDO,1980,94114,san-francisco-ca/488-roosevelt-way-san-francisco-ca-94114/pid_py7xoad48g/for-sale/,Pending,PENDING,2021-03-22 07:36:11,2021-03-08 00:00:00,1299000,CA,San Francisco,94114,488 Roosevelt Way
1629,41,2021-03-16 00:00:00,Ted Bartlett,3500000,2303,3500,421529010,4,4,Compass,SINGLE_FAMILY_HOUSE,1925,94109,san-francisco-ca/2835-larkin-st-san-francisco-ca-94109/pid_salwoad48g/for-sale/,Pending,PENDING,2021-03-22 05:11:18,2021-03-16 00:00:00,3500000,CA,San Francisco,94109,2835 Larkin St
1630,42,2021-03-21 00:00:00,Mayra Sepulveda,1100000,2495,800,40942240,2,3,Keller Williams Realty,SINGLE_FAMILY_HOUSE,1943,94116,san-francisco-ca/2722-vicente-st-san-francisco-ca-94116-12_40942240/for-sale/,Active Under Contract,PENDING,2021-03-21 22:46:22,2021-03-21 00:00:00,1100000,CA,San Francisco,94116,2722 Vicente St
1631,42,2021-02-16 00:00:00,Daria Saraf,600000,379130,850,421526678,1,2,Sotheby's International Realty,CONDO,1963,94115,san-francisco-ca/25-galilee-apt-1-san-francisco-ca-94115-110_421526678/for-sale/,Active Under Contract,PENDING,2021-03-21 20:31:24,2021-02-16 00:00:00,600000,CA,San Francisco,94115,25 Galilee #1
1633,43,2021-03-19 00:00:00,Claire Bayles,995000,0,775,421526898,1,1,Coldwell Banker Realty,CONDO,1992,94123,san-francisco-ca/190-cervantes-boulevard-302-san-francisco-ca-94123-110_438257/for-sale/,Pending,PENDING,2021-03-20 14:48:18,2021-03-19 00:00:00,995000,CA,San Francisco,94123,190 Cervantes Blvd #302
1636,43,2021-02-25 00:00:00,Tania Toubba,2895000,2996,6052,421530453,4,6,Sotheby's International Realty,MULTI_FAMILY,1923,94117,san-francisco-ca/76-divisadero-apt-5-san-francisco-ca-94117-110_421530453/for-sale/,Pending,PENDING,2021-03-20 03:46:16,2021-02-25 00:00:00,2895000,CA,San Francisco,94117,76 Divisadero #5
1637,44,2021-02-28 00:00:00,Dan Dodd,950000,0,0,421526525,1,2,Inspire Real Estate,CONDO,1990,94114,san-francisco-ca/734-14th-st-3-san-francisco-ca-94114/pid_y1lyoad48g/for-sale/,Pending,PENDING,2021-03-20 01:01:23,2021-02-28 00:00:00,950000,CA,San Francisco,94114,734 14th St #3
1638,44,2021-03-18 00:00:00,Colleen McFerrin,1198000,1750,1323,421527370,2,3,Compass,SINGLE_FAMILY_HOUSE,1955,94134,san-francisco-ca/785-colby-st-san-francisco-ca-94134/pid_4kqzoad48g/for-sale/,Pending,PENDING,2021-03-19 23:21:23,2021-03-18 00:00:00,1198000,CA,San Francisco,94134,785 Colby St
1639,44,2021-03-19 00:00:00,Priya Agrawal,1495000,72899,1522,421528831,2,2,Compass,CONDO,2004,94107,san-francisco-ca/200-brannan-st-243-san-francisco-ca-94107-110_409738/for-sale/,Pending,PENDING,2021-03-19 22:21:22,2021-03-19 00:00:00,1495000,CA,San Francisco,94107,200 Brannan St #243
1640,44,2021-03-19 00:00:00,Marian Anthony,2295000,3809,3150,421529693,2,3,Anthony Realty Group,MULTI_FAMILY,1907,94115,san-francisco-ca/2220-california-apt-3-san-francisco-ca-94115-110_421529693/for-sale/,Pending,PENDING,2021-03-19 21:16:34,2021-03-19 00:00:00,2295000,CA,San Francisco,94115,2220 California #3
1642,44,2021-03-16 00:00:00,Ted Bartlett,986000,2495,1735,421528997,2,4,Compass,SINGLE_FAMILY_HOUSE,1928,94124,san-francisco-ca/986-ingerson-ave-san-francisco-ca-94124-110_415752/for-sale/,Pending,PENDING,2021-03-19 14:56:14,2021-03-16 00:00:00,986000,CA,San Francisco,94124,986 Ingerson Ave
1643,44,2020-12-04 00:00:00,Ric Rocchiccioli,1895000,1846,3055,421523748,3,6,Compass SF,MULTI_FAMILY,1900,94110,san-francisco-ca/201-virginia-ave-apt-3-san-francisco-ca-94110-110_421523748/for-sale/,Active Under Contract,PENDING,2021-03-19 07:36:15,2020-12-04 00:00:00,1895000,CA,San Francisco,94110,201 Virginia Ave #3
