,closePrice,daysOnMovoto,id,tnImgPath,listDate,listingAgent,listPrice,lotSize,sqftTotal,mlsDbNumber,mlsNumber,bath,bed,openHouses,officeListName,photoCount,propertyType,propertyTypeDisplayName,yearBuilt,zipCode,path,status,houseRealStatus,priceChange,propertyId,visibility,soldDate,createdAt,imageDownloaderStatus,onMarketDateTime,virtualTourLink,nhsDetails,isNHS,isSold,listingByMovoto,priceRaw,isVideoTour,is3DTour,videoTourLink,mls.dateHidden,mls.id,geo.state,geo.city,geo.lat,geo.lng,geo.zipcode,geo.subPremise,geo.address,virtualLink,address,nhsBuilderName,nhsBuilderId,nhsListingType,nhsMarketName,nhsMarketId,nhsPlanName,nhsCommunityName,nhsCommunityId,longitude,latitude,activeUnderContract
947,,96,e948ec92-fe06-4bdf-9cd0-1e140d53c00b,https://pi.movoto.com/p/110/512002_0_iE3uNq_t.jpeg,2021-01-01 00:00:00,Richard Kaluza,679000,0.0,565.0,110,512002,1.0,1.0,[],Compass,24,CONDO,Condominium,1909.0,94104,san-francisco-ca/201-sansome-st-605-san-francisco-ca-94104-110_422744/for-sale/,Active,ACTIVE,,a69a27a8-a849-4021-af26-11fb21dc1be4,NO_RESTRICTION,,2021-01-26 08:31:30,0,2021-01-01 00:00:00,Https://my.matterport.com/show/?m=izez9XLo8zx&mls=1,,False,False,False,679000,False,True,,,110,CA,San Francisco,37.792231,-122.401228,94104,APT 605,201 Sansome St #605,Https://my.matterport.com/show/?m=izez9XLo8zx&mls=1,,,,,,,,,,,,
948,,96,c0df0c30-ef62-4626-8467-2c54251fdd6b,https://pi.movoto.com/p/110/512190_0_zFzveB_t.jpeg,2021-01-25 00:00:00,Jorge Koon,1125000,0.0,0.0,110,512190,1.0,1.0,[],Prime Meridian Realty & Mortgage,7,CONDO,Condo/Coop/TIC/Loft,1984.0,94121,san-francisco-ca/340-25th-ave-apt-c-san-francisco-ca-94121-110_512190/for-sale/,Active,ACTIVE,,d4a140c9-02e6-4d91-8633-1982497b30bd,NO_RESTRICTION,,2021-01-26 08:31:24,0,2021-01-25 00:00:00,Https://www.34025thave.com/unit-c,,False,False,False,1125000,False,True,,,110,CA,San Francisco,37.783138,-122.484629,94121,APT C,340 25th Ave #C,Https://www.34025thave.com/unit-c,,,,,,,,,,,,
949,,96,b6d19d63-bab2-40de-9c1a-d6d3499d38df,https://pi.movoto.com/p/110/512338_0_AaUNU3_t.jpeg,2021-01-25 00:00:00,Jorge Koon,2950000,0.0,3242.0,110,512338,3.0,3.0,[],Prime Meridian Realty & Mortgage,14,CONDO,Condo/Coop/TIC/Loft,1984.0,94121,san-francisco-ca/340-25th-ave-apt-b-san-francisco-ca-94121-110_512338/for-sale/,Active,ACTIVE,,1fa4b7bb-de73-49a0-8a63-28c7fff43b42,NO_RESTRICTION,,2021-01-26 03:46:28,0,2021-01-25 00:00:00,Https://www.34025thave.com/unit-b,,False,False,False,2950000,False,True,,,110,CA,San Francisco,37.783138,-122.484629,94121,APT B,340 25th Ave #B,Https://www.34025thave.com/unit-b,,,,,,,,,,,,
950,,97,77e0a655-c2a1-4b09-a877-e08516a83ebb,https://pi.movoto.com/p/110/513724_0_MYN2Uv_p.jpeg,2020-12-16 00:00:00,Jonathan Ng,899000,0.0,789.0,110,513724,1.0,1.0,[],Compass SF,37,CONDO,Condominium,2009.0,94105,san-francisco-ca/301-mission-st-3d-san-francisco-ca-94105/pid_lgtyoad48g/for-sale/,Active,ACTIVE,-26000.0,5291bc08-8f4d-411f-82bc-2802f2907796,NO_RESTRICTION,,2021-01-26 00:01:36,7,2020-12-16 00:00:00,Https://my.matterport.com/show/?m=5Retjrx2KDF,,False,False,False,899000,False,True,,,110,CA,San Francisco,37.790387,-122.396166,94105,APT 3D,301 Mission St #3D,Https://my.matterport.com/show/?m=5Retjrx2KDF,,,,,,,,,,,,
951,,97,24007f6a-79fe-491b-a3dd-61a34b63b93d,https://pi.movoto.com/p/110/514164_0_NiRri7_t.jpeg,2021-01-25 00:00:00,Julia Lo,240000,506.0,0.0,110,514164,1.0,1.0,[],Corcoran Global Living,15,CONDO,Condominium,,94124,san-francisco-ca/901-bayshore-apt-206-san-francisco-ca-94124-110_514164/for-sale/,Active,ACTIVE,,682897b6-a690-4b0b-be94-afa610455e98,NO_RESTRICTION,,2021-01-25 23:46:23,0,2021-01-25 00:00:00,,,False,False,False,240000,False,False,,,110,CA,San Francisco,37.732676,-122.404275,94124,APT 206,901 Bayshore #206,,,,,,,,,,,,,
952,,97,b7b53577-9acc-49c2-9634-f26ff5e676bc,https://pi.movoto.com/p/110/510981_0_yUZZIy_p.jpeg,2021-01-25 00:00:00,Betty Taisch,460000,105806.0,518.0,110,510981,1.0,,[],Compass,55,CONDO,Condominium,1982.0,94102,san-francisco-ca/601-van-ness-ave-128-san-francisco-ca-94102-110_417844/for-sale/,Active,ACTIVE,,0616d5d4-5ba7-4ebd-9d14-8ac110650741,NO_RESTRICTION,,2021-01-25 23:46:22,7,2021-01-25 00:00:00,,,False,False,False,460000,False,False,,,110,CA,San Francisco,37.781117,-122.421331,94102,APT 128,601 Van Ness Ave #128,,,,,,,,,,,,,
953,,97,c7a23d30-78e6-4a5f-8daa-9cad7cf89c93,https://pi.movoto.com/p/110/514129_0_mRJnUA_p.jpeg,2021-01-25 00:00:00,Jeff Appenrodt,499000,38449.0,432.0,110,514129,,,[],Laurel Realty & Investment,29,CONDO,Condominium,1991.0,94105,san-francisco-ca/201-harrison-st-802-san-francisco-ca-94105/pid_0gyyoad48g/for-sale/,Active,ACTIVE,-25900.0,8fc68444-bcac-439f-9783-ce0120721344,NO_RESTRICTION,,2021-01-25 23:11:23,7,2021-01-25 00:00:00,,,False,False,False,499000,False,False,,,110,CA,San Francisco,37.787658,-122.390516,94105,APT 802,201 Harrison St #802,,,,,,,,,,,,,
954,,97,4d9b714e-866c-4415-9c8e-0e401f1218ac,https://pi.movoto.com/p/110/513978_0_nIJzue_p.jpeg,2021-01-23 00:00:00,Edward Bate,3600000,1668.0,4188.0,110,513978,,5.0,[],Sotheby's International Realty,78,MULTI_FAMILY,Multi Family,1931.0,94123,san-francisco-ca/2227-lombard-st-apt-2-san-francisco-ca-94123-110_513978/for-sale/,Active,ACTIVE,,e9664ba4-9ba8-415c-a088-edb42bea82c5,NO_RESTRICTION,,2021-01-25 08:36:19,7,2021-01-23 00:00:00,,,False,False,False,3600000,False,False,,,110,CA,San Francisco,37.799355,-122.438127,94123,APT 2,2227 Lombard St #2,,,,,,,,,,,,,
955,,98,f9ca88a3-f467-4626-a238-e3a3a5bba9fe,https://pi.movoto.com/p/110/513966_0_NN2yZ6_p.jpeg,2021-01-24 00:00:00,Paul Hwang,1999000,76210.0,1323.0,110,513966,2.0,2.0,[],Skybox Realty,41,CONDO,Condominium,2008.0,94105,san-francisco-ca/301-main-st-32f-san-francisco-ca-94105/pid_mfvyoad48g/for-sale/,Active,ACTIVE,-100000.0,db90172b-7485-4c28-b9b4-3b24821ddeb9,NO_RESTRICTION,,2021-01-25 00:46:16,7,2021-01-24 00:00:00,,,False,False,False,1999000,False,False,,,110,CA,San Francisco,37.789525,-122.391175,94105,APT 32F,301 Main St #32F,,,,,,,,,,,,,
956,,98,a706d193-baf9-4f2f-84b3-93436169b062,https://pi.movoto.com/p/110/513876_0_mmBVMV_p.jpeg,2021-01-23 00:00:00,Michael Freethy,3995000,3036.0,2893.0,110,513876,5.0,4.0,[],Compass,76,SINGLE_FAMILY_HOUSE,Residential - Single Family,1903.0,94114,san-francisco-ca/4319-25th-st-san-francisco-ca-94114/pid_tryzoad48g/for-sale/,Active,ACTIVE,,e3d8322e-5aa4-4fb3-b5a8-871a2c39c2e9,NO_RESTRICTION,,2021-01-24 03:16:13,7,2021-01-23 00:00:00,Https://my.matterport.com/show/?m=qMGUHuiMWiy,,False,False,False,3995000,False,True,,,110,CA,San Francisco,37.749356,-122.43666,94114,,4319 25th St,Https://my.matterport.com/show/?m=qMGUHuiMWiy,,,,,,,,,,,,
